currency,event,month,reason,affected_symbol_examples,pre30_post30_potential_underblock_minutes_upper_bound,followup
EUR,CPI y/y,2018-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2018-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Deposit Facility Rate Decision,2018-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Interest Rate Decision,2018-01,UNCONFIRMED_RATE,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Monetary Policy Press Conference,2018-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2018-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-02,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Economic Forecasts,2018-02,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,GDP q/q,2018-02,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,GDP q/q,2018-02,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-02,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-02,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2018-02,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-02,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Deposit Facility Rate Decision,2018-03,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Interest Rate Decision,2018-03,UNCONFIRMED_RATE,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Monetary Policy Press Conference,2018-03,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-03,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-03,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Leaders Summit,2018-03,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Leaders Summit,2018-03,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2018-03,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-04,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-04,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-04,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Deposit Facility Rate Decision,2018-04,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Interest Rate Decision,2018-04,UNCONFIRMED_RATE,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Monetary Policy Press Conference,2018-04,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2018-04,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-05,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Economic Forecasts,2018-05,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-05,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,GDP q/q,2018-05,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-05,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-05,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,GDP q/q,2018-05,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2018-05,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-05,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Deposit Facility Rate Decision,2018-06,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Interest Rate Decision,2018-06,UNCONFIRMED_RATE,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Monetary Policy Press Conference,2018-06,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-06,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-06,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-06,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-06,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Leaders Summit,2018-06,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2018-06,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Leaders Summit,2018-06,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-06,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-07,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-07,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-07,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Economic Forecasts,2018-07,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-07,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Deposit Facility Rate Decision,2018-07,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Interest Rate Decision,2018-07,UNCONFIRMED_RATE,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Monetary Policy Press Conference,2018-07,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2018-07,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-07,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,GDP q/q,2018-08,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-08,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,GDP q/q,2018-08,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2018-08,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-08,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Deposit Facility Rate Decision,2018-09,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Interest Rate Decision,2018-09,UNCONFIRMED_RATE,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Monetary Policy Press Conference,2018-09,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-09,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-09,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-09,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-09,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2018-09,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-09,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-09,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Leaders Summit,2018-10,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-10,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Leaders Summit,2018-10,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Deposit Facility Rate Decision,2018-10,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Interest Rate Decision,2018-10,UNCONFIRMED_RATE,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Monetary Policy Press Conference,2018-10,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-10,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2018-10,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-10,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Economic Forecasts,2018-11,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-11,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,GDP q/q,2018-11,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-11,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-11,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,GDP q/q,2018-11,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Leaders Summit,2018-11,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-11,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-11,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2018-11,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-11,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-12,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Leaders Summit,2018-12,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Deposit Facility Rate Decision,2018-12,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Interest Rate Decision,2018-12,UNCONFIRMED_RATE,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Monetary Policy Press Conference,2018-12,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,EU Leaders Summit,2018-12,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2018-12,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2018-12,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2019-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,Consumer Price Expectations,2019-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB President Draghi Speech,2019-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,CPI y/y,2019-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Deposit Facility Rate Decision,2019-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Interest Rate Decision,2019-01,UNCONFIRMED_RATE,GDAXI;EURUSD,60,E2_AND_E4
EUR,ECB Monetary Policy Press Conference,2019-01,NONRATE_SCOPE_GAP,GDAXI;EURUSD,60,E2_AND_E4
