"task_id","source_state","result_state","priority","task_type","ea_id","category","blocker_real","action_taken","title","evidence","recommendation","supporting_artifact"
"3a32ab4b-807f-4367-8ce1-fcfca1b2e6a8","BLOCKED","BLOCKED","0","ops_issue","","echt_gated","yes","state retained","portfolio ops_issue","Not complete despite parked-in-REVIEW: 7/7 custom .DWX rows unresolved (tick_size zero, OrderCalcProfit unavailable) = framework audit item Q1.8 non-FX sizing verification. Blocked on the Q1.8 tick-value dump (26.07 wave prep); tracked in docs/ops/source_harvest/audit/FIX_BACKLOG.md","Retain BLOCKED; resolve the Q1.8 tick-value dump through governed terminal/operator evidence.","docs/ops/source_harvest/audit/FIX_BACKLOG.md"
"e9dc4e21-6376-428e-97a7-c2ebd8f0e519","BLOCKED","FAILED","0","triage_failure","QM5_13020","tot","no","BLOCKED -> FAILED-final","audnzd-coint-reversion","FINAL_SUPERSEDED 2026-08-22: the stale NO_HISTORY row was followed by Q02 PASS and downstream economic failures. Reopening infra recovery would contradict later evidence.","Keep FAILED-final; do not requeue absent a new OWNER-authorized contract with fresh evidence.","C:/QM/repo/docs/ops/evidence/2026-08-22_codex_nonready_task_triage.md"
"eda8c9c9-6de0-4ca5-8a40-f6fb054a62ba","FAILED","FAILED","0","ops_issue","","tot","no","kept FAILED-final","FTMO MAE refresh: regenerate 8 stale Round25 sleeve streams without bypassing gates","backlog_triage 08-04: blockers cleared 07-10 and MAE refresh delivered via the superseding Factory_OFF window (12/12 streams); nothing left","Keep FAILED-final; do not requeue absent a new OWNER-authorized contract with fresh evidence.","C:\QM\repo\docs\ops\evidence\eda8c9c9_ftmo_mae_refresh_reconciliation_2026-07-09.md"
"aa0b64d4-54bd-44cf-a860-8322606fd2c9","BLOCKED","FAILED","1","ops_issue","","tot","no","BLOCKED -> FAILED-final","T-WIN 12821: fix pullback gate - place 7 pending limits at M30 boundaries unconditionally (0-trades root cause)","FINAL_SUPERSEDED 2026-08-22: the requester explicitly transferred the T-WIN fix to Claude; later logical-basket rows are retired/superseded. No Codex edit is owed.","Keep FAILED-final; do not requeue absent a new OWNER-authorized contract with fresh evidence.","C:/QM/repo/docs/ops/evidence/2026-08-22_codex_nonready_task_triage.md"
"e8f31c15-cf2e-4210-bd4c-4459aadee494","BLOCKED","BLOCKED","5","triage_failure","QM5_1249","OWNER_noetig","yes","state retained","QM5_1249 triage_failure","The current approved QM5_1249 card still requires an external monthly short-rate series, while the governed build/data contract remains price-native and the latest Q02 attempts remain infrastructure failures. (active_magic_rows=6; ex5_files=1; setfiles=6; spec_files=1; work_items_open=0; work_items_total=18)","Issue a dated card disposition: re-specify the edge using governed reproducible data and re-approve it, or reject/retire the card and close the EA identity. Development must not requeue the current card.","C:/QM/repo/docs/ops/evidence/2026-08-22_codex_nonready_task_triage.md"
"f308fe3f-efa2-43cc-bb69-bf72e6f8d10c","FAILED","FAILED","5","ops_issue","","tot","no","kept FAILED-final","portfolio ops_issue","backlog_triage 08-04: crash fix delivered (commit 121da873); commission modelling superseded by venue_cost_model.json single-source (07-19)","Keep FAILED-final; do not requeue absent a new OWNER-authorized contract with fresh evidence.","docs/ops/Q04_FIFTH_ROOT_CAUSE_commission_mechanism_2026-05-29.md"
"09f78f65-8a29-4eb4-829d-17f32cb1a8a0","BLOCKED","FAILED","30","build_ea","QM5_10021","tot","no","BLOCKED -> FAILED-final","rebuild_QM5_10021_as_v2","FINAL_SUPERSEDED 2026-08-22: QM5_10021 v2 has 21 Q02 PASS rows and governed deeper work pending. The old rebuild ticket must not be re-executed.","Keep FAILED-final; do not requeue absent a new OWNER-authorized contract with fresh evidence.","C:/QM/repo/framework/EAs/QM5_10021_rw-fx-abs-mom_v2/"
"1f400c88-a2b7-4c48-acd4-37a139b772fe","BLOCKED","TODO","30","build_ea","QM5_11899","entblockbar","no","BLOCKED -> TODO","psar-ao-ac-confluence-h1","Live recheck: active magic rows increased from 0 to 10; allocator task 81b4cf48 is APPROVED. Source exists; governed build remains to be completed.","Proceed from TODO through the existing governed build/review path; do not bypass compile or registry gates.","C:/QM/repo/docs/ops/evidence/2026-08-22_codex_nonready_task_triage.md"
"cb255099-a42d-46ad-903d-a69c7b1f2d40","FAILED","FAILED","30","ops_issue","QM5_12969","tot","no","kept FAILED-final","7/12 fresh; OOM fix works (commit 0a1c7fee4, binaries recompiled). The last 5 stale sleeves deferred because DIRECT run_smoke competes for the 7 busy factory terminals, and free...","backlog_triage 08-04: superseded same-day by task e0356f13 per own verdict (MAE streams 12/12 via OWNER Factory_OFF window)","Keep FAILED-final; do not requeue absent a new OWNER-authorized contract with fresh evidence.","C:/QM/repo/docs/ops/evidence/e0356f13_ftmo_mae_10848_completion_2026-07-10.md"
"20cfbf8d-0ce9-4fa7-acc8-9d45ce319df4","FAILED","FAILED","35","ops_issue","","tot","no","kept FAILED-final","Blockers cleared (Claude 2026-07-10): 3 setfiles repaired + all 8 FTMO EAs compiled with the July-6 MAE include. Run fresh instrumented FULL-HISTORY (2017-2025, Model 4) backtes...","backlog_triage 08-04: Q08 stream-emission OOM fixed outside ticket (commit 0a1c7fee4, bounded incremental flush QM_Common.mqh); delivered","Keep FAILED-final; do not requeue absent a new OWNER-authorized contract with fresh evidence.","C:\QM\repo\docs\ops\evidence\20cfbf8d_ftmo_mae_refresh_run_2026-07-10.md"
"bb105489-2a1f-4af4-8cff-1ada6e43394b","FAILED","FAILED","35","ops_issue","","tot","no","kept FAILED-final","OOM FIXED (Claude 2026-07-10, commit 0a1c7fee4): Q08 stream emission in QM_Common.mqh is now bounded/incremental (flush >32KB, first truncates then appends); the 8 FTMO EAs are ...","backlog_triage 08-04: OOM fix confirmed working per own verdict; deferred residual runs superseded by the V3-era Q08 requal waves","Keep FAILED-final; do not requeue absent a new OWNER-authorized contract with fresh evidence.","C:\QM\repo\docs\ops\evidence\bb105489_ftmo_mae_refresh_cycle_2026-07-10.md"
"076262b3-9fc8-4d24-a25e-58cbc6e563d4","BLOCKED","BLOCKED","50","build_ea","QM5_20078","echt_gated","yes","state retained","volume-profile-poc-retest-intraday","Live state has an approved card and MQ5 source but no active magic rows, no EX5, no SPEC, no backtest setfiles, and no work items. The prior fabricated-build blocker therefore remains real, although source now exists. (active_magic_rows=0; ex5_files=0; setfiles=0; spec_files=0; work_items_open=0; work_items_total=0)","Confirm the approved card is authoritative, allocate exact card symbols with the governed allocator, regenerate and verify the resolver, then assign Development a complete Q01 compile/setfile/SPEC/build-check pass followed by Codex review. Run the already-gated filter before any enqueue.","D:\QM\strategy_farm\artifacts\builds\QM5_20078_volume-profile-poc-retest-intraday_076262b3-9fc8-4d24-a25e-58cbc6e563d4.json"
"24431eba-2076-4abd-8027-b680e73bc47d","BLOCKED","BLOCKED","50","build_ea","QM5_20081","echt_gated","yes","state retained","renko-triple-block-flip-h1","Live state has an approved card and MQ5 source but no active magic rows, no EX5, no SPEC, no backtest setfiles, and no work items. The prior fabricated-build blocker therefore remains real, although source now exists. (active_magic_rows=0; ex5_files=0; setfiles=0; spec_files=0; work_items_open=0; work_items_total=0)","Confirm the approved card is authoritative, allocate exact card symbols with the governed allocator, regenerate and verify the resolver, then assign Development a complete Q01 compile/setfile/SPEC/build-check pass followed by Codex review. Run the already-gated filter before any enqueue.","C:\QM\worktrees\codex-orchestration-1\artifacts\strategy_farm\build_preflight\24431eba-2076-4abd-8027-b680e73bc47d.json"
"4b65d59b-edda-40dc-be41-380439fd5e72","BLOCKED","BLOCKED","50","build_ea","QM5_20080","echt_gated","yes","state retained","goodman-wave-theory-intersection-h1","Live state has an approved card and MQ5 source but no active magic rows, no EX5, no SPEC, no backtest setfiles, and no work items. The prior fabricated-build blocker therefore remains real, although source now exists. (active_magic_rows=0; ex5_files=0; setfiles=0; spec_files=0; work_items_open=0; work_items_total=0)","Confirm the approved card is authoritative, allocate exact card symbols with the governed allocator, regenerate and verify the resolver, then assign Development a complete Q01 compile/setfile/SPEC/build-check pass followed by Codex review. Run the already-gated filter before any enqueue.","C:\QM\worktrees\codex-orchestration-1\artifacts\strategy_farm\build_preflight\4b65d59b-edda-40dc-be41-380439fd5e72.json"
"534917fa-c0e2-4ad7-ac0e-0b52238b43fe","BLOCKED","BLOCKED","50","build_ea","QM5_11214","OWNER_noetig","yes","state retained","ft-clucmay","Each identity has both approved- and rejected-pool card material and an EA directory with no MQ5 source. Active magic rows now exist, so the old magic blocker dissolved, but card authority and the missing implementation remain live. (active_magic_rows=4; ex5_files=0; setfiles=0; spec_files=0; work_items_open=0; work_items_total=0)","Resolve the approved/rejected card conflict with a dated G0 disposition. If APPROVED remains authoritative, hand the exact card to Development for a complete Q01 build and Codex review; otherwise retire the build task. Do not fabricate source from the directory name.","C:/QM/worktrees/codex-orchestration-1/artifacts/router_reviews/534917fa-c0e2-4ad7-ac0e-0b52238b43fe.json"
"550ba990-7307-450b-b178-e471b349cc2e","FAILED","FAILED","50","build_ea","QM5_30005","tot","no","kept FAILED-final","bollinger-bands-grid-dark-venus","Live approved cards still define multi-layer grid/basket mechanics (QM5_30005 static 15-pip grid; QM5_30006 linear grid). That directly violates the active Edge Lab no-grid/no-martingale charter, so registry repair or compilation cannot unblock these tasks. (active_magic_rows=4; ex5_files=0; setfiles=0; spec_files=0; work_items_open=0; work_items_total=0)","Keep FAILED-final; do not requeue absent a new OWNER-authorized contract with fresh evidence.","D:\QM\strategy_farm\artifacts\builds\550ba990-7307-450b-b178-e471b349cc2e.json"
"6be9b5cf-1bfc-431e-b572-f5950c95eb77","BLOCKED","BLOCKED","50","build_ea","QM5_21508","echt_gated","yes","state retained","qs-ma-envelope-eur","Current registry/card/source identity is present but active magic count is still zero, with no EX5, setfiles, or work items. The preflight refusal remains correct. (active_magic_rows=0; ex5_files=0; setfiles=0; spec_files=0; work_items_open=0; work_items_total=0)","Allocate the card's exact symbols with governed_magic_allocator --card, regenerate and verify QM_MagicResolver, then return the existing build task to Development for a full Q01 build and Codex review. Never invent or reactivate a retired magic row.","C:\QM\repo\artifacts\builds\6be9b5cf-1bfc-431e-b572-f5950c95eb77.json"
"7432e7ca-5caf-4f8f-94f3-0c728b72cc2d","BLOCKED","BLOCKED","50","build_ea","QM5_11212","OWNER_noetig","yes","state retained","ft-cmcwinner","Each identity has both approved- and rejected-pool card material and an EA directory with no MQ5 source. Active magic rows now exist, so the old magic blocker dissolved, but card authority and the missing implementation remain live. (active_magic_rows=4; ex5_files=0; setfiles=0; spec_files=0; work_items_open=0; work_items_total=0)","Resolve the approved/rejected card conflict with a dated G0 disposition. If APPROVED remains authoritative, hand the exact card to Development for a complete Q01 build and Codex review; otherwise retire the build task. Do not fabricate source from the directory name.","C:/QM/worktrees/codex-orchestration-1/artifacts/router_reviews/7432e7ca-5caf-4f8f-94f3-0c728b72cc2d.json"
"78f0cdff-f4af-4f31-af04-4d3b00e17584","BLOCKED","BLOCKED","50","build_ea","QM5_21509","echt_gated","yes","state retained","qs-emv-trend-ndx","Current registry/card/source identity is present but active magic count is still zero, with no EX5, setfiles, or work items. The preflight refusal remains correct. (active_magic_rows=0; ex5_files=0; setfiles=0; spec_files=0; work_items_open=0; work_items_total=0)","Allocate the card's exact symbols with governed_magic_allocator --card, regenerate and verify QM_MagicResolver, then return the existing build task to Development for a full Q01 build and Codex review. Never invent or reactivate a retired magic row.","C:\QM\repo\artifacts\builds\78f0cdff-f4af-4f31-af04-4d3b00e17584.json"
