ea_id,source,source_sha256,clock_construct,window_inputs,clock_code_evidence,card_clock_evidence,alternate_spec_evidence,classification,reason,seasonal_shift_hours,pending_stop_class,outside_range_behavior,pending_code_evidence,pass_depth,pass_work_item,pass_evidence,q14_lineage,reference_q02_trades,reference_trade_evidence,trades_affected
QM5_10000,framework/EAs/QM5_10000_ff-tasayc-cci-breakout/QM5_10000_ff-tasayc-cci-breakout.mq5,180b04c70bd27b4f94556589810c0b9c6726be12badb76f25a8702823e336b3a,UTC conversion; inspect helper use,input int    strategy_time_stop_bars    = 36;,framework/EAs/QM5_10000_ff-tasayc-cci-breakout/QM5_10000_ff-tasayc-cci-breakout.mq5:68: datetime utc_time = QM_BrokerToUTC(TimeCurrent()); | framework/EAs/QM5_10000_ff-tasayc-cci-breakout/QM5_10000_ff-tasayc-cci-breakout.mq5:70: utc_time = TimeGMT(); | framework/EAs/QM5_10000_ff-tasayc-cci-breakout/QM5_10000_ff-tasayc-cci-breakout.mq5:213: TimeCurrent() - open_time >= strategy_time_stop_bars * seconds) | framework/EAs/QM5_10000_ff-tasayc-cci-breakout/QM5_10000_ff-tasayc-cci-breakout.mq5:278: const datetime broker_now = TimeCurrent();,No unambiguous strategy clock line located in docs/strategy_card.md,,N-A,Duration input only; no clock window comparison found,N-A,False,N-A,,Q03,287d3bb1-e191-4819-abde-383930bdcef0,D:\QM\reports\work_items\287d3bb1-e191-4819-abde-383930bdcef0\QM5_10000\20260724_103803\summary.json,False,1155,D:\QM\reports\work_items\0bcb1917-bc77-4ebb-815f-2c9035f54dcb\QM5_10000\20260907_103103\summary.json,UNKNOWN; counterfactual requires governed measurement
QM5_10002,framework/EAs/QM5_10002_ff-sisyphus-2ma-rsi-d1/QM5_10002_ff-sisyphus-2ma-rsi-d1.mq5,a16e604799d5acab676ad1acab90be28b3ca7b7d1fc00b8f9f573c4cf868b4b1,raw broker/bar timestamp hour,input int    strategy_time_stop_bars        = 15;,"framework/EAs/QM5_10002_ff-sisyphus-2ma-rsi-d1/QM5_10002_ff-sisyphus-2ma-rsi-d1.mq5:132: TimeToStruct(TimeCurrent(), dt); | framework/EAs/QM5_10002_ff-sisyphus-2ma-rsi-d1/QM5_10002_ff-sisyphus-2ma-rsi-d1.mq5:133: if(dt.day_of_week == 5 && dt.hour >= qm_friday_close_hour_broker) | framework/EAs/QM5_10002_ff-sisyphus-2ma-rsi-d1/QM5_10002_ff-sisyphus-2ma-rsi-d1.mq5:330: const datetime broker_now = TimeCurrent();",No unambiguous strategy clock line located in docs/strategy_card.md,,N-A,Duration input only; no clock window comparison found,N-A,False,N-A,,Q03,3ab93558-8f4b-4db2-8271-48625414c546,D:\QM\reports\work_items\3ab93558-8f4b-4db2-8271-48625414c546\QM5_10002\20260621_065849\summary.json,False,,,UNKNOWN; counterfactual requires governed measurement
QM5_10003,framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5,3141b3699949d4cb3cc0ff0374dee8dd01be31d5e4a47678da3bc07a4abd087f,UTC conversion; inspect helper use,input int    strategy_cet_range_hour     = 9; | input int    strategy_cet_range_minute   = 0; | input int    strategy_cet_time_stop_hour = 20; | input int    strategy_pending_hours      = 24;,"framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:51: return QM_BrokerToUTC(broker_time) + 3600; | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:154: const datetime now = TimeCurrent(); | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:181: TimeToStruct(Strategy_BrokerToFixedCET(bar_open), cet); | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:182: return (cet.hour == Strategy_ClampInt(strategy_cet_range_hour, 0, 23) && | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:338: TimeToStruct(Strategy_BrokerToFixedCET(TimeCurrent()), cet); | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:339: if(cet.hour < Strategy_ClampInt(strategy_cet_time_stop_hour, 0, 23)) | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:389: const datetime broker_now = TimeCurrent();",MISSING docs/strategy_card.md,,UNSTATED-IN-CARD,No strategy clock declaration located,UNKNOWN,True,UNRESOLVED: placement-path inspection remains required,"framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:56: return (order_type == ORDER_TYPE_BUY_STOP || order_type == ORDER_TYPE_SELL_STOP); | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:64: const double ask = SymbolInfoDouble(_Symbol, SYMBOL_ASK); | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:65: const double bid = SymbolInfoDouble(_Symbol, SYMBOL_BID); | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:188: req.type = QM_BUY_STOP; | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:252: buy_req.type = QM_BUY_STOP; | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:258: req.type = QM_SELL_STOP; | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:272: if(!QM_TM_OpenPosition(buy_req, buy_ticket)) | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:310: const double market = is_buy ? SymbolInfoDouble(_Symbol, SYMBOL_BID) : SymbolInfoDouble(_Symbol, SYMBOL_ASK); | framework/EAs/QM5_10003_ff-xaron-morning-breakout/QM5_10003_ff-xaron-morning-breakout.mq5:430: QM_TM_OpenPosition(req, out_ticket);",Q03,95f18a80-4b77-49be-a9e2-4be4c066fb77,D:\QM\reports\work_items\95f18a80-4b77-49be-a9e2-4be4c066fb77\QM5_10003\20260611_140921\summary.json,False,,,UNKNOWN; counterfactual requires governed measurement
QM5_10006,framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5,4c373cfcae41e51f3c86c9e9230a008323cceed67cab230c4e4955b8079dfe4d,raw broker/bar timestamp hour,,"framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:104: if(!HistorySelect(week_open, TimeCurrent())) | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:183: TimeToStruct(broker_time, dt); | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:185: return (dt.hour >= 22); | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:192: TimeToStruct(broker_time, dt); | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:193: return (dt.day_of_week == 5 && dt.hour >= qm_friday_close_hour_broker); | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:199: TimeToStruct(broker_time, dt); | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:205: close_dt.hour = qm_friday_close_hour_broker; | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:279: const datetime broker_now = TimeCurrent(); | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:328: if(Strategy_IsFridayCloseWindow(TimeCurrent())) | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:335: return (Strategy_HasOpenPosition() && Strategy_IsFridayCloseWindow(TimeCurrent())); | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:379: const datetime broker_now = TimeCurrent();",MISSING docs/strategy_card.md,,UNSTATED-IN-CARD,No strategy clock declaration located,"-2 winter / -3 summer vs same-number UTC window (conditional, source unconfirmed)",True,UNRESOLVED: placement-path inspection remains required,"framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:56: return (order_type == ORDER_TYPE_BUY_STOP || order_type == ORDER_TYPE_SELL_STOP); | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:248: req.sl = (type == QM_BUY_STOP) | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:271: req.type = QM_BUY_STOP; | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:294: const double ask = SymbolInfoDouble(_Symbol, SYMBOL_ASK); | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:295: const double bid = SymbolInfoDouble(_Symbol, SYMBOL_BID); | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:310: if(!Strategy_BuildStopRequest(QM_BUY_STOP, buy_stop, expiry_seconds, ""FF_WEEKLY_BUY_STOP"", buy_req)) | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:312: if(!Strategy_BuildStopRequest(QM_SELL_STOP, sell_stop, expiry_seconds, ""FF_WEEKLY_SELL_STOP"", req)) | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:316: return QM_TM_OpenPosition(buy_req, buy_ticket); | framework/EAs/QM5_10006_ff-weekly-stop-straddle/QM5_10006_ff-weekly-stop-straddle.mq5:421: QM_TM_OpenPosition(req, out_ticket);",Q03,67d921dc-640c-467b-bb41-944838d7c4c4,D:\QM\reports\work_items\67d921dc-640c-467b-bb41-944838d7c4c4\QM5_10006\20260526_102704\summary.json,False,,,UNKNOWN; counterfactual requires governed measurement
QM5_10007,framework/EAs/QM5_10007_ff-prevday-breakout-edge/QM5_10007_ff-prevday-breakout-edge.mq5,4abd4d3c8da5ae4c1e49a05b516ef1bf35802fb2333fc6376a4264f97951697e,UTC conversion; inspect helper use,input int    strategy_gmt_day_start_hour = 22;,framework/EAs/QM5_10007_ff-prevday-breakout-edge/QM5_10007_ff-prevday-breakout-edge.mq5:121: const datetime gmt_time = QM_BrokerToUTC(broker_time); | framework/EAs/QM5_10007_ff-prevday-breakout-edge/QM5_10007_ff-prevday-breakout-edge.mq5:324: if(position_time > 0 && Strategy_SourceDayIndex(TimeCurrent()) > Strategy_SourceDayIndex(position_time)) | framework/EAs/QM5_10007_ff-prevday-breakout-edge/QM5_10007_ff-prevday-breakout-edge.mq5:394: const datetime broker_now = TimeCurrent();,MISSING docs/strategy_card.md,"framework/EAs/QM5_10007_ff-prevday-breakout-edge/SPEC.md:13: This EA trades a ForexFactory previous-day breakout rule on H1 bars. It computes the previous source trading day's high and low using a 22:00 GMT day boundary, then buys when the last closed H1 candle closes above the prior-day high and sells when it closes below the prior-day low. The baseline keeps the source SMA(34) filter enabled, skips tiny prior-day ranges versus D1 ATR(14), allows one breakout per side per day, and exits by fixed SL/TP, opposite previous-day breakout, or source-day rollover. | framework/EAs/QM5_10007_ff-prevday-breakout-edge/SPEC.md:29: | `strategy_gmt_day_start_hour` | 22 | 0-23 | Source trading-day boundary hour in UTC/GMT. |",UNSTATED-IN-CARD,No strategy clock declaration located,UNKNOWN,False,N-A,,Q02,ee388ba6-a7a2-402e-9ac6-e24679560acf,D:\QM\reports\work_items\ee388ba6-a7a2-402e-9ac6-e24679560acf\QM5_10007\20260621_190154\summary.json,False,,,UNKNOWN; counterfactual requires governed measurement
QM5_10008,framework/EAs/QM5_10008_ff-sd-first-touch-h1/QM5_10008_ff-sd-first-touch-h1.mq5,705560e4481b053fbd64cabd11b6ca8f632c8b60d1c3505dce54bb08c1187c91,raw broker/bar timestamp hour,input int    strategy_trade_time_stop_bars    = 30;,framework/EAs/QM5_10008_ff-sd-first-touch-h1/QM5_10008_ff-sd-first-touch-h1.mq5:166: const datetime now = TimeCurrent(); | framework/EAs/QM5_10008_ff-sd-first-touch-h1/QM5_10008_ff-sd-first-touch-h1.mq5:437: return (TimeCurrent() - opened_at >= hold_seconds); | framework/EAs/QM5_10008_ff-sd-first-touch-h1/QM5_10008_ff-sd-first-touch-h1.mq5:489: const datetime broker_now = TimeCurrent();,No unambiguous strategy clock line located in docs/strategy_card.md,,N-A,Duration input only; no clock window comparison found,N-A,False,N-A,,Q03,5f2ded3b-4599-4faf-b212-b206cdb0cb1a,D:\QM\reports\work_items\5f2ded3b-4599-4faf-b212-b206cdb0cb1a\QM5_10008\20260727_201204\summary.json,False,,,UNKNOWN; counterfactual requires governed measurement
QM5_10013,framework/EAs/QM5_10013_rw-fx-weekend-gap/QM5_10013_rw-fx-weekend-gap.mq5,40fe52d388526869625f2a145f01a31e16c7aef5b0791e27214ec8ee11e3b5db,UTC conversion; fixed offset,input int    strategy_max_hold_hours         = 24;,"framework/EAs/QM5_10013_rw-fx-weekend-gap/QM5_10013_rw-fx-weekend-gap.mq5:50: TimeToStruct(t, dt); | framework/EAs/QM5_10013_rw-fx-weekend-gap/QM5_10013_rw-fx-weekend-gap.mq5:56: const datetime utc = QM_BrokerToUTC(broker_time); | framework/EAs/QM5_10013_rw-fx-weekend-gap/QM5_10013_rw-fx-weekend-gap.mq5:61: TimeToStruct(ny_time, ny); | framework/EAs/QM5_10013_rw-fx-weekend-gap/QM5_10013_rw-fx-weekend-gap.mq5:62: return ((ny.day_of_week == 2 && ny.hour >= 17) || ny.day_of_week == 3); | framework/EAs/QM5_10013_rw-fx-weekend-gap/QM5_10013_rw-fx-weekend-gap.mq5:292: const datetime now = TimeCurrent(); | framework/EAs/QM5_10013_rw-fx-weekend-gap/QM5_10013_rw-fx-weekend-gap.mq5:343: const datetime broker_now = TimeCurrent();",framework/EAs/QM5_10013_rw-fx-weekend-gap/docs/strategy_card.md:51: - Force-flat before Tuesday 17:00 New York time.,,UNSTATED-IN-CARD,Card mentions a clock but does not establish an unambiguous clock contract for the implemented window,UNKNOWN offset; inspect helper; fixed +3 implies -1 winter / 0 summer vs broker (conditional),False,N-A,,Q03,01918491-6ef4-486f-9093-2ffc52aa5287,D:\QM\reports\work_items\01918491-6ef4-486f-9093-2ffc52aa5287\QM5_10013\20260526_100426\summary.json,False,,,UNKNOWN; counterfactual requires governed measurement
QM5_10014,framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5,21850786ee30bac63b36a17562c0596cf1b8ac4fbb659b287e9d3821fa60262c,UTC conversion; inspect helper use,input int    strategy_uk_start_hhmm       = 600; | input int    strategy_uk_end_hhmm         = 1000;,"framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5:118: TimeToStruct(t, checked); | framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5:136: dt.hour = 1; | framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5:144: TimeToStruct(utc_time, dt); | framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5:146: const datetime start_utc = Strategy_UKDSTBoundaryUTC(dt.year, 3); | framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5:147: const datetime end_utc = Strategy_UKDSTBoundaryUTC(dt.year, 10); | framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5:155: const datetime utc_time = QM_BrokerToUTC(broker_time); | framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5:163: TimeToStruct(t, dt); | framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5:164: return dt.hour * 100 + dt.min; | framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5:274: if(!Strategy_IsUKEntrySession(TimeCurrent())) | framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5:302: if(!Strategy_IsUKEntrySession(TimeCurrent())) | framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5:360: const datetime now = TimeCurrent(); | framework/EAs/QM5_10014_ff-stoch-833-uk-m15/QM5_10014_ff-stoch-833-uk-m15.mq5:423: const datetime broker_now = TimeCurrent();",MISSING docs/strategy_card.md,,UNSTATED-IN-CARD,No strategy clock declaration located,UNKNOWN,False,N-A,,Q03,38805542-0fc6-4223-b7c4-74e912ae424d,D:\QM\reports\work_items\38805542-0fc6-4223-b7c4-74e912ae424d\QM5_10014\20260608_152943\summary.json,False,,,UNKNOWN; counterfactual requires governed measurement
QM5_10016,framework/EAs/QM5_10016_ff-ema100-bb-tdi-h1/QM5_10016_ff-ema100-bb-tdi-h1.mq5,4b36e0f6fa6c241bd5f5f165efefcc43242001bdaf928aca55b21501d2512bdc,raw broker/bar timestamp hour,input int    strategy_time_stop_bars      = 20;,framework/EAs/QM5_10016_ff-ema100-bb-tdi-h1/QM5_10016_ff-ema100-bb-tdi-h1.mq5:289: const datetime now = TimeCurrent(); | framework/EAs/QM5_10016_ff-ema100-bb-tdi-h1/QM5_10016_ff-ema100-bb-tdi-h1.mq5:353: const datetime broker_now = TimeCurrent();,No unambiguous strategy clock line located in docs/strategy_card.md,"framework/EAs/QM5_10016_ff-ema100-bb-tdi-h1/SPEC.md:13: The EA trades H1 pullbacks in the direction of EMA(100). A long setup requires the last closed bar to close above EMA(100), pull back to the Bollinger middle band or near EMA(100), show an RSI(7)-based TDI proxy bullish cross, and pass a Bollinger-bandwidth anti-chop filter. Shorts mirror the same rules below EMA(100). Exits are broker TP at the opposite Bollinger band, broker SL from the card stop rule, early close on an opposite TDI proxy cross, or a 20-bar time stop.",N-A,Duration input only; no clock window comparison found,N-A,False,N-A,,Q02,25d3a845-c2b0-4abc-9754-13c36a9ee461,D:\QM\reports\work_items\25d3a845-c2b0-4abc-9754-13c36a9ee461\QM5_10016\20260728_090339\summary.json,False,,,UNKNOWN; counterfactual requires governed measurement
QM5_10017,framework/EAs/QM5_10017_ff-stoch-ema50-h4/QM5_10017_ff-stoch-ema50-h4.mq5,10ce4671714519b57890051b89e7da62b1e8859b8a9dd6367234465b5fa20ade,raw broker/bar timestamp hour,input int    strategy_time_stop_bars         = 18;,framework/EAs/QM5_10017_ff-stoch-ema50-h4/QM5_10017_ff-stoch-ema50-h4.mq5:345: if(TimeCurrent() - open_time >= strategy_time_stop_bars * seconds_per_bar) | framework/EAs/QM5_10017_ff-stoch-ema50-h4/QM5_10017_ff-stoch-ema50-h4.mq5:407: const datetime broker_now = TimeCurrent();,No unambiguous strategy clock line located in docs/strategy_card.md,,N-A,Duration input only; no clock window comparison found,N-A,False,N-A,,Q04,57b56f12-6844-4c03-bc2d-0666e330b081,D:\QM\reports\work_items\57b56f12-6844-4c03-bc2d-0666e330b081\QM5_10017\Q04\GBPUSD.DWX\aggregate.json,False,,,UNKNOWN; counterfactual requires governed measurement
