id,ea,symbol,phase,verdict,verdict_taxonomy,verdict_reason,class,subclass,journal_deals,logger_entries,shell_runs,complete_runs,n_runs,summary_all_zero,max_trades,highest_contiguous_valid_gate,cohort_pre0803,q11_contiguous,moot,newest_newer_id,newest_newer_phase,newest_newer_verdict,note
a64d18d3-bce6-4112-a13e-f610617405c1,QM5_12580,AUDUSD.DWX,Q03,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET,FALSE_ZERO,,140,146,2,0,2,True,0,Q08,True,False,False,,,,"EA traded but summary=0: journal_deals=140(block=True,testpassed=True) logger_entries=146; shell_runs=2/2"
31fb8246-b518-4a0e-a047-2b457022516f,QM5_13018,XAGUSD.DWX,Q03,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET,EVIDENCE_PURGED,,,,0,0,0,False,,Q02,False,False,False,,,,no summary.json; report_root contains only an empty directory skeleton (all evidence files purged)
f21f3d2e-7b07-4807-a286-219e650a5f02,QM5_20199,QM5_20199_EURJPY_EURAUD_COINTEGRATION_D1,Q03,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET;NON_DETERMINISTIC,EVIDENCE_PURGED,,,,0,0,0,False,,Q02,False,False,False,,,,no summary.json; report_root contains only an empty directory skeleton (all evidence files purged)
5a987bd1-b335-404f-85c9-e2406dadb806,QM5_20250,QM5_20250_USDCHF_AUDJPY_COINTEGRATION_D1,Q03,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET;NON_DETERMINISTIC,OTHER,BELOW_FLOOR_GENUINE,,,0,0,2,False,126,Q02,False,False,False,,,,"EA traded 126 (max across 2 run(s)); complete report; below min_trades=25 -> genuine economic FAIL, not a zero"
35a7995a-10d2-4276-86dc-7ac28aa194bb,QM5_41034,XTIUSD.DWX,Q03,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET,EVIDENCE_PURGED,,,,0,0,0,False,,Q02,False,False,False,,,,no summary.json; report_root contains only an empty directory skeleton (all evidence files purged)
f2ab5cb2-ebfd-4859-9a89-9d737f6392ab,QM5_41255,XTIUSD.DWX,Q03,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET,OTHER,BELOW_FLOOR_GENUINE,,,0,0,2,False,2,Q02,False,False,False,,,,"EA traded 2 (max across 2 run(s)); complete report; below min_trades=5 -> genuine economic FAIL, not a zero"
71e69785-9d35-4b25-a187-72ce0dde707d,QM5_41257,XTIUSD.DWX,Q03,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET,OTHER,BELOW_FLOOR_GENUINE,,,0,0,2,False,3,Q02,False,False,False,,,,"EA traded 3 (max across 2 run(s)); complete report; below min_trades=5 -> genuine economic FAIL, not a zero"
659bbe0b-f28d-4a81-ab2f-5aed9acc76aa,QM5_41261,XTIUSD.DWX,Q03,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET,OTHER,BELOW_FLOOR_GENUINE,,,0,0,2,False,3,Q02,False,False,False,,,,"EA traded 3 (max across 2 run(s)); complete report; below min_trades=5 -> genuine economic FAIL, not a zero"
23ca1541-80a9-4e0e-9db9-0ab865618f20,QM5_41270,XTIUSD.DWX,Q03,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET,OTHER,BELOW_FLOOR_GENUINE,,,0,0,2,False,4,Q02,False,False,False,,,,"EA traded 4 (max across 2 run(s)); complete report; below min_trades=5 -> genuine economic FAIL, not a zero"
050dd2ea-e9d0-475f-b5ad-40c2206867ff,QM5_10025,USDJPY.DWX,Q02,ZERO_TRADES,strategy,Q02_ZERO_TRADES,GENUINE_ZERO,,0,0,0,1,1,True,0,,False,False,False,e49888a1-6dbe-45b7-bb4f-29461bbcfb0c,Q02,,"complete report (deposit>0), 0 deals; journal_purged=True logger_entries=0"
db466eec-5b39-4837-9bcb-da31323fa461,QM5_10782,EURUSD.DWX,Q02,ZERO_TRADES,strategy,Q02_ZERO_TRADES,GENUINE_ZERO,,0,0,0,1,1,True,0,,False,False,False,,,,"complete report (deposit>0), 0 deals; journal_purged=True logger_entries=0"
3e8a83ad-4af1-485b-b094-c68cdee86087,QM5_11011,GBPUSD.DWX,Q02,FAIL,strategy,P2_PRESCREEN_run_smoke_fail:MIN_TRADES_NOT_MET,OTHER,BELOW_FLOOR_GENUINE,,,0,0,1,False,3,,False,False,False,,,,"EA traded 3 (max across 1 run(s)); complete report; below min_trades=5 -> genuine economic FAIL, not a zero"
b0d3e5b0-8908-4b29-9b37-3d4a331caa60,QM5_11011,GDAXI.DWX,Q02,FAIL,strategy,P2_PRESCREEN_run_smoke_fail:MIN_TRADES_NOT_MET,OTHER,BELOW_FLOOR_GENUINE,,,0,0,1,False,3,,False,False,False,,,,"EA traded 3 (max across 1 run(s)); complete report; below min_trades=5 -> genuine economic FAIL, not a zero"
aea2de2c-94c9-45d2-8fe6-9942ec62f63d,QM5_11011,USDJPY.DWX,Q02,FAIL,strategy,P2_PRESCREEN_run_smoke_fail:MIN_TRADES_NOT_MET,OTHER,BELOW_FLOOR_GENUINE,,,0,0,1,False,2,,False,False,False,,,,"EA traded 2 (max across 1 run(s)); complete report; below min_trades=5 -> genuine economic FAIL, not a zero"
9db380f0-3d6b-415a-9d26-f9b23b0bdf69,QM5_11011,XAUUSD.DWX,Q02,FAIL,strategy,P2_PRESCREEN_run_smoke_fail:MIN_TRADES_NOT_MET,OTHER,BELOW_FLOOR_GENUINE,,,0,0,1,False,2,,False,False,False,,,,"EA traded 2 (max across 1 run(s)); complete report; below min_trades=5 -> genuine economic FAIL, not a zero"
c3e3ab1f-b65d-47c5-a303-645f3200bf81,QM5_11145,QM5_11145_EURUSD_GBPUSD_PAIR_Z_D1,Q02,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET,OTHER,BELOW_FLOOR_GENUINE,,,0,0,1,False,4,,False,False,False,,,,"EA traded 4 (max across 1 run(s)); complete report; below min_trades=25 -> genuine economic FAIL, not a zero"
b6415de1-d5a3-5464-a971-c5d0073d4164,QM5_11325,GBPUSD.DWX,Q02,INVALID,invalid,OWNER_APPROVED_Q02_DEAD16_INVALID,OTHER,EMPTY_RUN_NO_MODELING,0,0,0,0,1,True,0,,False,False,False,,,,"all 1 report(s) Bars=0 (no tick modeling); deposit=0 -> dead/empty run, not a backtest zero (outside harness shell-race, which needs Bars>0). reason=OWNER_APPROVED_Q02_DEAD16_INVALID"
b33bec2e-6d1d-59c5-a62e-b7d9d72e3ae0,QM5_11325,USDJPY.DWX,Q02,INVALID,invalid,OWNER_APPROVED_Q02_DEAD16_INVALID,OTHER,EMPTY_RUN_NO_MODELING,0,0,0,0,1,True,0,,False,False,False,,,,"all 1 report(s) Bars=0 (no tick modeling); deposit=0 -> dead/empty run, not a backtest zero (outside harness shell-race, which needs Bars>0). reason=OWNER_APPROVED_Q02_DEAD16_INVALID"
912f0f7b-0a03-59f1-8974-e1a3de71b23a,QM5_11388,GBPUSD.DWX,Q02,INVALID,invalid,OWNER_APPROVED_Q02_DEAD16_INVALID,OTHER,EMPTY_RUN_NO_MODELING,0,0,0,0,1,True,0,,False,False,False,,,,"all 1 report(s) Bars=0 (no tick modeling); deposit=0 -> dead/empty run, not a backtest zero (outside harness shell-race, which needs Bars>0). reason=OWNER_APPROVED_Q02_DEAD16_INVALID"
d1c5b557-e10e-51b6-a6b3-630368e5aa77,QM5_11388,USDJPY.DWX,Q02,INVALID,invalid,OWNER_APPROVED_Q02_DEAD16_INVALID,OTHER,EMPTY_RUN_NO_MODELING,0,0,0,0,1,True,0,,False,False,False,,,,"all 1 report(s) Bars=0 (no tick modeling); deposit=0 -> dead/empty run, not a backtest zero (outside harness shell-race, which needs Bars>0). reason=OWNER_APPROVED_Q02_DEAD16_INVALID"
92d9df39-a322-4455-b051-f7f2db11108f,QM5_11480,AUDUSD.DWX,Q02,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET,OTHER,BELOW_FLOOR_GENUINE,,,0,0,1,False,21,,False,False,False,,,,"EA traded 21 (max across 1 run(s)); complete report; below min_trades=25 -> genuine economic FAIL, not a zero"
6bb4a658-d88f-4124-9288-95de0548610a,QM5_11480,GBPUSD.DWX,Q02,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET,OTHER,BELOW_FLOOR_GENUINE,,,0,0,1,False,15,,False,False,False,,,,"EA traded 15 (max across 1 run(s)); complete report; below min_trades=25 -> genuine economic FAIL, not a zero"
73310eee-a661-4fb8-acc8-c4c5a5b3aad6,QM5_11480,USDCAD.DWX,Q02,FAIL,strategy,run_smoke_fail:MIN_TRADES_NOT_MET,OTHER,BELOW_FLOOR_GENUINE,,,0,0,1,False,22,,False,False,False,,,,"EA traded 22 (max across 1 run(s)); complete report; below min_trades=25 -> genuine economic FAIL, not a zero"
