ea_id,slug,family,source_r1,mechanics_1line,ex5_compile_date,tested_symbols,current_gate_per_symbol,highest_contiguous_valid_gate,net_profit,profit_factor,trades,drawdown_pct,current_blocker,live_status,dxz_suitability,ftmo_suitability,est_remaining_validation,s56_class,duplicate_variant_of
QM5_13213,balke-gmt3-range-breakout,Balke,"Rene Balke FF Range Breakout exact-parameter port (agy 2026-07-13); ported from QM5_9936","03-06 GMT+3 H1 range straddle, ATR 0.4-2.5 filter, +1R trail, 18:00 exit, no TP",2026-08-25,USDJPY.DWX;XAUUSD.DWX,USDJPY=Q11 PASS / XAUUSD=Q02 RETIRE,Q11 (USDJPY),114284,1.16,1624,22.8,"BALKE_PATTERN_REPAIR_REVIEW_PENDING (Q12) + NEWS_CALENDAR_TAINTED (Q09_NEWS)",LIVE on DXZ,live/positive edge,UNKNOWN (no Q10 FTMO reco; high density favourable),Q12->Q13->Q14,B (better impl of 9936),parent QM5_9936
QM5_13301,balke-minute-range-breakout,Balke,"implementation as built (Codex 2026-08-12), Balke range breakout on M5 clock","03-06 GMT+3 M5 range two-sided stops, 0.4-2.5 H1-ATR, +1R trail, 18:00 flat",2026-08-22,GDAXI.DWX,GDAXI=Q10 PASS,Q10 (GDAXI; Q09 mixed),70696,1.28-1.35,551-742,14.5,NEWS_CALENDAR_TAINTED (Q09_NEWS/Q10_NEWS),LIVE on DXZ,live/decent single-EA profile,UNKNOWN (no Q10 FTMO reco),Q11->Q12->Q14,E (materially distinct: GDAXI/M5)
QM5_13036,balke-go-long-regime,Balke,"YT-BALKE-FXBOT-2026-07 (YouTube seed)","SMA200 regime long-only index time-window entry, ATR SL (M15)",2026-08-03,GDAXI.DWX;NDX.DWX,GDAXI=Q10 PASS / NDX=Q02 FAIL,Q10 (GDAXI),4218,1.04,1352,8.1,NEWS_CALENDAR_TAINTED (Q09_NEWS),not live,weak (PF 1.04 near-breakeven),UNKNOWN likely unsuitable,retire-review or Q11+,E (not a range breakout),n/a
QM5_21501,balke-gmt3-range-breakout-ppcensus,Balke,"instrumented derivative of QM5_13213 (strategy_id 6e967762)","census instrument; open pattern-permission surface over 13213 mechanics",2026-08-21,USDJPY.DWX,USDJPY=Q11 PASS,Q11 (USDJPY),114284,1.16,1624,22.8,NEWS_CALENDAR_TAINTED (Q09_NEWS),not deployable by design,n/a (measurement only),n/a,none (never a book),D (duplicate of 13213),QM5_13213
QM5_41097,balke-gmt3-range-breakout-opt,Balke-opt,"DL-089 opt instrument, parent QM5_21501/13213","research pp-profile optimisation over 13213 mechanics",2026-08-26,USDJPY.DWX,OPT_CENSUS (1094 rows),n/a (research),,,,,"NOT_APPROVED research-only",not live,research instrument,n/a,n/a,C (config/param variant),QM5_13213
QM5_41324,balke-gmt3-range-breakout-path25-opt,Balke-opt,"DL-089 path-to-25 opt, parent 21501/13213","research window/param optimisation",2026-09-03,USDJPY.DWX,OPT_CENSUS (1093 rows MEASURED),n/a (research),,,,,"NOT_APPROVED research-only",not live,research instrument,n/a,n/a,C (config/param variant),QM5_13213
QM5_41398,balke-pattern-repair-opt,Balke-opt,"CEO-DEC-BALKE-PATTERN-RECOVERY-20260909 repair sibling of 13213","repaired pattern include over 13213; window-sweep subject",2026-09-09,USDJPY.DWX,OPT_CENSUS (1722 rows) + WINDOW_SWEEP_OWNER,n/a (research),,,,,"NOT_APPROVED research-only; window sweep found better window s0_l8 (OOS PF 1.21)",not live,research instrument,n/a,n/a,C (config/param variant),QM5_13213
QM5_41405,balke-clock-audit-opt,Balke-opt,"OWNER 2026-09-09/10 clock-audit sibling of 41398","clock/window/buffer audit over 13213 mechanics",2026-09-11,USDJPY.DWX,OPT_CENSUS (966 rows),n/a (research),,,,,"NOT_APPROVED research-only",not live,research instrument,n/a,n/a,C (config/param variant),QM5_13213
QM5_12700,balke-range-breakout,Balke,"BALKE-RANGE-BREAKOUT-USDJPY-2026 (OWNER-directed port, Codex)","03-06 broker M15 range, one confirmed breakout/day, vol-surge filter, RR 2.5",2026-07-14,USDJPY.DWX,USDJPY=Q07 FAIL,Q06 (USDJPY),,,,,Q07 FAIL (dead),not live,dead,dead,none (killed),C/E early variant,n/a
QM5_1142,usdjpy-time-range-breakout,ORB,"Crabel (1990) ORB + Fisher (2002) ACD (NOT Balke)","22:00 240min M30 OCO range breakout, 0.5-3.0 ATR, 2.0 ATR stop",2026-07-12,USDJPY+8 crosses,all Q04 FAIL,Q03 (USDJPY),,,,,Q04 FAIL (dead),not live,dead,dead,none (killed),E (Crabel/Fisher not Balke),n/a
QM5_11874,usdjpy-24hr-range-breakout,ORB,"usdjpy 24hr range breakout","24hr range breakout USDJPY/GBPJPY/AUDJPY",2026-08 approx,USDJPY;GBPJPY;AUDJPY,all Q04 FAIL,Q03 (USDJPY),,,,,Q04 FAIL (dead),not live,dead,dead,none (killed),C/D range-breakout variant,n/a
QM5_21001,balke-gmt3-range-breakout-exit-c1,Balke,"promotion challenger of 13213 (exit variant c1)","13213 mechanics with exit-c1 variant",2026-08 approx,USDJPY.DWX,USDJPY=Q06 FAIL,Q05 (USDJPY),,,,,Q06 FAIL (dead),not live,dead,dead,none (killed),C (exit-param variant),QM5_13213
QM5_9936,ff-range-breakout-gmt3-h1,Balke-parent,"ForexFactory GMT+3 range breakout (Balke lineage parent)","01-06 GMT+3 H1 range straddle, ATR filter, 13:00/20:00 hours",n/a,USDJPY;GBPUSD;NDX,USDJPY=Q09 PASS (Q10_NEWS REVIEW),Q09 (USDJPY),,,,,Q09_PORTFOLIO FAIL_PORTFOLIO / Q10_NEWS REVIEW,not live,parent of 13213,UNKNOWN,Q10->Q11,A/B (origin edge),n/a (is the parent)
QM5_31008,gold-reaper-order-block-mitigation,GoldReaper,"ICT Order Block Mitigation on Gold (Wim Schrynemakers Gold Reaper family)","order-block mitigation gold M15 (never mechanised)",none,none,none (0 work_items),n/a,,,,,"seed card status REJECTED; do-not-clone verdict",never built,rejected (clone of killed Balke XAU),rejected,none,B/D (clone of killed edge),Balke XAU (QM5_13213 XAUUSD)
QM5_9460,gh-gold-orb,ORB,"GitHub gold ORB","gold opening-range breakout",2026-06-20,XAUUSD;XAGUSD;WS30;GDAXI,all Q02 FAIL,none (Q02 FAIL),,,,,Q02 FAIL (dead),not live,dead,dead,none (killed),ORB reconstruction (dead),n/a
QM5_12425,gold-orb,ORB,"gold ORB","gold opening-range breakout (never ran)",2026-06-23,none,0 work_items,n/a,,,,,never ran,not live,unknown/unrun,unknown,Q02+,ORB reconstruction (unrun),n/a
