concept,file,line,quote,classification,disposition
25_objective,CLAUDE.md,390,"WAY TO 25 abolished as a business target (candidate count is a diagnostic",HISTORICAL_ONLY,"states the supersession; no fix"
25_objective,decisions/2026-09-15_owner_continuous_book_evolution.md,31,"Remove ""Way to 25"" as a business goal",HISTORICAL_ONLY,"dated decision record (immutable); no fix"
25_objective,tools/strategy_farm/book_build_guard.py,40,"MIN_QUALIFIED_PAIRS = 25 (DIAGNOSTIC ONLY since OWNER-DEC-CBE-20260915)",STILL_ACTIVE_AND_INTENTIONAL,"diagnostic reference_pool_size; real trigger MIN_VALID_POOL=1 (:45); labeled"
25_objective,tools/strategy_farm/path_to_25.py,39,"TARGET_QUALIFIED_PAIRS = 25",STILL_ACTIVE_AND_INTENTIONAL,"diagnostic reference_pool_size; superseded_utc label at :651-652"
25_objective,tools/strategy_farm/config/gate_manifest.v4.json,375,"condition qualified_candidates_ge_25 (LEGACY TOKEN NAME, DIAGNOSTIC SEMANTICS)",STILL_ACTIVE_AND_INTENTIONAL,"token pinned by schema/validator/path25_red_team; full supersession note :376,:384"
25_objective,tools/strategy_farm/config/gate_manifest.v4.draft.json,81,"condition qualified_candidates_ge_25 detail >= 25",HISTORICAL_ONLY,"byte-pinned frozen proposal (sha256 pinned by test_gate_manifest); active v4.json authoritative; NOT modified"
25_objective,tools/strategy_farm/schemas/gate_manifest.v4.schema.json,151,"condition const qualified_candidates_ge_25",STILL_ACTIVE_AND_INTENTIONAL,"schema pins token name; keep"
25_objective,tools/strategy_farm/gate_manifest.py,794,"qualified_candidates_ge_25, owner_order_artifact_present",STILL_ACTIVE_AND_INTENTIONAL,"validates manifest token list; keep"
25_objective,tools/strategy_farm/path25_red_team.py,248,"book_build_guard.MIN_QUALIFIED_PAIRS == 25",STILL_ACTIVE_AND_INTENTIONAL,"red-team asserts reference_pool_size==25 as diagnostic; keep"
25_objective,tools/strategy_farm/render_cockpit_v2.py,1384,"<span>Weg zu 25</span> (dead _render_path_to_25, not in body)",ACTIVE_BUT_OBSOLETE,"FIXED: relabeled to 'Qualifizierungs-Pool (Diagnostik)' + Ref-Pool 25 (hist.) + supersession comment"
25_objective,tools/strategy_farm/build_backup_retention_manifest.py,235,"pair_class = ""PATH_TO_25"" ... path_to_25_pair_count",ACTIVE_BUT_OBSOLETE,"naming only (backup-retention classifier still valid); NOT_FIXED: JSON output key consumed downstream"
25_objective,tools/strategy_farm/config/owner_decision_execution.v1.json,95,"pairs on the path to the 25 keep their COMPLETE evidence chain",HISTORICAL_ONLY,"sealed dated OWNER retention doctrine 2026-08-31; retention scope not book objective; no fix"
25_objective,tools/strategy_farm/session_tools/m11_close_0906.py,23,"path_to_25 ... eta_to_25",HISTORICAL_ONLY,"dated 0906 session helper; no fix"
25_objective,framework/EAs/QM5_41324_balke-gmt3-range-breakout-path25-opt/SPEC.md,1,"slug balke-gmt3-range-breakout-path25-opt",HISTORICAL_ONLY,"EA slug literal; immutable registry/artifacts; no fix"
25_objective,G:/.../03 Pipeline/Pipeline Operations Workflow.md,41,"Buch-Trigger (fail-closed): >=25 qualifizierte Kandidaten UND OWNER-Buchauftrag",ACTIVE_BUT_OBSOLETE,"FIXED: ASCII line -> gueltiger qualifizierter Pool (>=1) + superseded note after fence"
25_objective,G:/.../06 Infrastructure/Mission Control.md,30,"The prominent ""WAY TO 25"" milestone view is removed (section 3)",HISTORICAL_ONLY,"states supersession (b4); no fix"
25_objective,G:/.../10 Morning Briefing/*.html,1,"0<span>/25</span> voll qualifizierte Paare",HISTORICAL_ONLY,"dated generated briefings; generator fixed forward by d2; no fix to history"
drain_before_book,(none in code),,,NOT_APPLICABLE,"no code occurrence"
drain_before_book,G:/.../06 Infrastructure/Mission Control.md,54,"continuous, not a global drain barrier, section 23",STILL_ACTIVE_AND_INTENTIONAL,"states new policy (b4); no fix"
drain_before_book,G:/.../12 ToDo/10_Pipeline_Leerlauf.md,-,"drain Zwischenziel superseded as book blocker",HISTORICAL_ONLY,"superseded (b4); no fix"
min_lot_q17,(no code gate),,,NOT_APPLICABLE,"Q17 authority OWNER, runner MANUAL; no code enforcement"
min_lot_q17,framework/EAs/QM5_*/SPEC.md,~,"Live burn-in (Q13) | RISK_PERCENT | Min-lot equivalent (thousands of generated per-EA specs)",HISTORICAL_ONLY,"generated per-EA risk-convention rows, old Q13 label; NOT_FIXED: bulk generated (template update = future slice)"
