ea_id,slug,registry_created_at,registry_owner,evidence_class,action,magic_rows,reason
QM5_10011,rw-fx-weekly-seas,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10032,rw-bond-window,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10033,rw-spy-tlt-pair,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10036,rw-vol-risk,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10051,gh-ma-cross,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10052,gh-time-range,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10053,gh-box-brk,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10054,gh-ict-imb,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10055,gh-allegro,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10056,gh-dillon-macd,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10057,gh-cci-arrows,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10058,gh-ima-stoch,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10059,gh-puria,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10060,gh-ichi-chikou,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10064,mql5-astar-path,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10065,mql5-tod-rotate,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10066,mql5-dfs-path,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10067,mql5-channel-bo,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10068,mql5-liq-mtf,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10072,mql5-prevbar-stop,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10073,mql5-ob-ema,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
QM5_10084,mql5-bcw-rsi,2026-05-19,Research,CARD_REJECTED,RETIRE,0,"RETIRE: card carries a terminal g0_status REJECTED with an explicit g0_rejection_reason; the registry slug still matches that card (the id was never re-purposed); no EA directory, no work_items, no magic rows."
